,rpsf,ppsf
count,40.0,43.0
mean,3.4413659726892307,822.1517500482379
std,0.8018388813460886,454.8958859605578
min,2.030269472129937,400.3542958370239
25%,2.8958568449460254,614.8651792569156
50%,3.287240537240537,757.9787234042553
75%,3.8835227272727275,913.6232611659642
max,5.55,3414.2212189616253
