,rpsf,ppsf
count,43.0,25.0
mean,3.306401088610752,465.3849167558503
std,0.7627463787909929,227.74897959064995
min,2.0473684210526315,126.86757215619694
25%,2.81585803576954,384.4221105527638
50%,3.2375,453.59385903698535
75%,3.6893203883495147,513.3843212237093
max,5.55,1310.0
