,rpsf,ppsf
count,46.0,43.0
mean,4.8945961392997495,1048.4051458281654
std,1.792447077948525,403.8725406060108
min,2.4827586206896552,499.7917534360683
25%,3.642869760640647,732.845157016247
50%,4.568933823529411,904.887714663144
75%,5.697517539125742,1253.2285452678893
max,11.045655375552283,1989.1973516087814
