,rpsf,ppsf
count,41.0,44.0
mean,3.0696065706428572,573.1418859086536
std,1.068787851911178,161.44963468708917
min,1.8602728400165358,275.13227513227514
25%,2.5568181818181817,452.57098355126095
50%,2.772222222222222,554.4049603647127
75%,3.125,652.4177511246711
max,7.434210526315789,1026.392961876833
