,rpsf,ppsf
count,36.0,43.0
mean,3.9770098008020276,1040.6873387333899
std,0.906409786676692,294.0885888229021
min,1.5,519.950890116636
25%,3.5225265017667846,805.3948284206319
50%,3.841936816023126,1055.7986870897155
75%,4.464606832398553,1194.5260699216396
max,5.802707930367505,1731.8736539842068
