,rpsf,ppsf
count,44.0,44.0
mean,4.232450634506992,771.0649757045169
std,1.5379825062134644,301.837976116138
min,1.48955223880597,137.20109760878088
25%,2.8676668921069384,612.6742192567881
50%,4.494846936753485,736.4145100357225
75%,5.358681022880216,909.0087973800182
max,9.251288659793815,2107.843137254902
