,rpsf,ppsf
count,39.0,43.0
mean,3.563627000520587,746.0385397736937
std,1.297206392881175,343.10442123660846
min,1.8421052631578947,30.706400749236177
25%,2.7189559209263643,502.5490970504927
50%,3.088235294117647,722.6354941551541
75%,4.182527375813491,978.2507642655105
max,8.9453125,1500.0
