,rpsf,ppsf
count,42.0,43.0
mean,4.284502011111103,1020.9873315938036
std,1.1230553487352983,292.9926264092882
min,1.2228260869565217,544.2307692307693
25%,3.501893771922068,825.6064508963608
50%,4.208606843466121,960.1706970128023
75%,5.088775647153279,1184.431989955569
max,6.3213572854291415,2034.2843073892839
